source_role,period,place_name,lat,lon,n_reviews,negative,positive,dominant_sentiment,sentiment_source,rentang_tanggal,place_id,avg_confidence_model
training_eda,2021-10,Bakso & Mie Ayam NONI,-7.5364665,109.1215043,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-10,Mi Ayam Pak Wanto Purwokerto,-7.429113799999999,109.2445805,6,0,6,Positif,EDA/labeler all_platforms,,,
training_eda,2021-10,Mie Ayam Pojok Lapang,-7.4356344,109.2732321,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-10,Mie Ayam Pak Gimin,-7.41966,109.2412438,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-10,Mie Ayam & Bakso WE-TAN,-7.4157893,109.2637874,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-10,Mie Ayam Mame,-7.4228848,109.240767,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-10,Mie Ayam Pak Kumis Asli Bumiayu,-7.4002193,109.2445157,1,1,0,Negatif,EDA/labeler all_platforms,,,
training_eda,2021-10,Mie Ayam Pak Marso,-7.423968,109.236043,5,0,5,Positif,EDA/labeler all_platforms,,,
training_eda,2021-10,Mie Ayam Ma-Dyang,-7.4207155,109.2595639,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-10,Mie Ayam Pak Kumis,-7.4120193,109.2451626,5,0,5,Positif,EDA/labeler all_platforms,,,
training_eda,2021-10,Bakso Kota Cak Man,-7.4257816,109.2301284,3,0,3,Positif,EDA/labeler all_platforms,,,
training_eda,2021-11,"Mie Ayam dan Bakso Pak Man ""Mixagrip""",-7.4339706,109.2400907,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2021-11,Mie Ayam dan Bakso Tunggal Rasa,-7.4171956,109.2461375,8,0,8,Positif,EDA/labeler all_platforms,,,
training_eda,2021-11,Mie Ayam Tipar,-7.427217,109.2351073,3,2,1,Negatif,EDA/labeler all_platforms,,,
training_eda,2021-11,Mie Ayam Mbak Kimun,-7.431096999999999,109.2564693,5,1,4,Positif,EDA/labeler all_platforms,,,
training_eda,2021-11,Mie Ayam Tanjlig,-7.4164092,109.2294025,3,0,3,Positif,EDA/labeler all_platforms,,,
training_eda,2021-11,Mie Ayam Deddy,-7.4301934,109.2559782,1,0,1,Positif,EDA/labeler all_platforms,,,
