layer,month,week,rentang_tanggal,place_name,lat,lon,n_reviews,positive,negative,dominant_sentiment,aspect_summary
testing_apr_jun,5,2,08-14 Mei 2026,Bakso & Mie Ayam NONI,-7.5364665,109.1215043,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,5,2,08-14 Mei 2026,Bakso & Mie Ayam SAHABAT 2,-7.536085,109.124302,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,5,2,08-14 Mei 2026,Mie Ayam Pak Narso,-7.4246043,109.2546241,1,1,0,Positif,"rasa enak, harga terjangkau"
testing_apr_jun,5,2,08-14 Mei 2026,Bakso Pak Kusno,-7.4478657,109.2437942,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,5,2,08-14 Mei 2026,Mie ayam pak sutrisno UMKM UMP,-7.4304259,109.2193762,1,1,0,Positif,rasa enak
testing_apr_jun,5,2,08-14 Mei 2026,Mie Ayam Bpk. Darno,-7.4006945,109.2364701,1,1,0,Positif,"porsi cukup/banyak, rasa enak, tempat nyaman & bersih"
testing_apr_jun,5,2,08-14 Mei 2026,Bakso dan Mie Ayam Pak Kisman,-7.4164,109.2293311,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,5,2,08-14 Mei 2026,Dapoer Prambanan,-7.4259542,109.2371769,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,5,2,08-14 Mei 2026,Bakmi Nyemek Bu Trimo,-7.4332135,109.2584942,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,5,2,08-14 Mei 2026,Mie Jogja Pak Karso Purwokerto,-7.4168129,109.2420255,2,0,2,Negatif,pelayanan lama/kurang
testing_apr_jun,5,2,08-14 Mei 2026,Mie Ayam Bangka Oey,-7.413964,109.2376241,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,5,2,08-14 Mei 2026,Mie Ayam Enak Lor Kampus,-7.4083949,109.2310756,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,5,2,08-14 Mei 2026,Mie Ayam Lik Itis,-7.428543,109.2265822,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,5,3,15-21 Mei 2026,Bakso dan Mie Ayam Ceker Pak Sariman Purwokerto,-7.4335718,109.2402036,5,5,0,Positif,"pelayanan ramah & cepat, tempat nyaman & bersih"
testing_apr_jun,5,3,15-21 Mei 2026,Mie Ayam dan Bakso Tunggal Rasa,-7.4171956,109.2461375,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,5,3,15-21 Mei 2026,Mie Ayam Lingkar Indah,-7.4191991,109.2279491,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,5,3,15-21 Mei 2026,Mie Ayam Bruderan (Cito),-7.4202487,109.2330205,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,5,3,15-21 Mei 2026,Mie Ayam Mbak Kimun,-7.431097,109.2564693,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
